"Setting","Outcome","Time","Estimate","SE","CI_Lower","CI_Upper","Significant","Percent_Change"
"Repositories without prior AI traces (AF)","Commits",-6,0.0967438141040045,0.128680094061861,-0.155469170257243,0.348956798465252,FALSE,10.1578128689062
"Repositories without prior AI traces (AF)","Commits",-5,-0.0303074896179619,0.08385221362156,-0.19465782831622,0.134042849080296,FALSE,-2.98528225048103
"Repositories without prior AI traces (AF)","Commits",-4,0.0363621944060149,0.065405422070309,-0.0918324328517908,0.164556821663821,FALSE,3.70313854444342
"Repositories without prior AI traces (AF)","Commits",-3,-0.0195201204893773,0.0664947115352787,-0.149849755098524,0.110809514119769,FALSE,-1.9330836553325
"Repositories without prior AI traces (AF)","Commits",-2,-0.087511396599645,0.058946935711547,-0.203047390594277,0.0280245973949872,FALSE,-8.37915700692896
"Repositories without prior AI traces (AF)","Commits",0,0.784631716642636,0.0668345922110014,0.653635915909074,0.915627517376199,TRUE,119.159966240709
"Repositories without prior AI traces (AF)","Commits",1,0.515127841984309,0.0767120253065306,0.364772272383509,0.66548341158511,TRUE,67.3852476741815
"Repositories without prior AI traces (AF)","Commits",2,0.305923080057184,0.0759161760793587,0.157127374941641,0.454718785172728,TRUE,35.7877854643797
"Repositories without prior AI traces (AF)","Commits",3,0.212684085674012,0.0790729121702838,0.0577011778202558,0.367666993527768,TRUE,23.6993805445659
"Repositories without prior AI traces (AF)","Commits",4,0.163340318121627,0.0771401472829321,0.0121456294470797,0.314535006796174,TRUE,17.743732477161
"Repositories without prior AI traces (AF)","Commits",5,0.130990031759273,0.0792594135580594,-0.0243584188145235,0.286338482333069,FALSE,13.9956417895362
"Repositories without prior AI traces (AF)","Commits",6,0.00891560451291772,0.0982508745330612,-0.183656109571882,0.201487318597718,FALSE,0.895546689250182
"Repositories without prior AI traces (AF)","Lines Added",-6,0.302617024174702,0.32497034913177,-0.334324860123568,0.939558908472972,FALSE,35.3396047209855
"Repositories without prior AI traces (AF)","Lines Added",-5,-0.000358204605489319,0.19483900045006,-0.382242645487606,0.381526236276628,FALSE,-0.0358140457879186
"Repositories without prior AI traces (AF)","Lines Added",-4,0.139215999856404,0.151176230950666,-0.157089412806901,0.435521412519708,FALSE,14.9372337452857
"Repositories without prior AI traces (AF)","Lines Added",-3,0.101765935420862,0.163568879484146,-0.218829068368065,0.422360939209788,FALSE,10.7124302813993
"Repositories without prior AI traces (AF)","Lines Added",-2,-0.0811241381485065,0.141801753109297,-0.359055574242729,0.196807297945716,FALSE,-7.79207808674748
"Repositories without prior AI traces (AF)","Lines Added",0,1.13766331857803,0.136326015330444,0.870464328530357,1.4048623086257,TRUE,211.947063319431
"Repositories without prior AI traces (AF)","Lines Added",1,0.644555021437861,0.156480806795962,0.337852640117775,0.951257402757947,TRUE,90.5139094574555
"Repositories without prior AI traces (AF)","Lines Added",2,0.404005689570822,0.172676397877237,0.0655599497314373,0.742451429410206,TRUE,49.7812468844015
"Repositories without prior AI traces (AF)","Lines Added",3,0.432144163986458,0.160958707740005,0.116665096816047,0.747623231156868,TRUE,54.0557192019168
"Repositories without prior AI traces (AF)","Lines Added",4,0.387405202119552,0.165511167606594,0.0630033136106288,0.711807090628476,TRUE,47.31532951895
"Repositories without prior AI traces (AF)","Lines Added",5,0.550549321042222,0.196109639055899,0.16617442849266,0.934924213591783,TRUE,73.420539177717
"Repositories without prior AI traces (AF)","Lines Added",6,0.448161947507986,0.280655973951599,-0.101923761437148,0.998247656453121,FALSE,56.5432192968911
"Repositories without prior AI traces (AF)","Duplicated Lines Density",-6,0.135500235366022,0.123876783713139,-0.10729826071173,0.378298731443774,FALSE,14.5109465354264
"Repositories without prior AI traces (AF)","Duplicated Lines Density",-5,0.0161811424798053,0.0580434896027313,-0.0975840971415479,0.129946382101159,FALSE,1.63127661478883
"Repositories without prior AI traces (AF)","Duplicated Lines Density",-4,-0.0114591375102147,0.0359573877444721,-0.08193561748938,0.0590173424689505,FALSE,-1.13937316638935
"Repositories without prior AI traces (AF)","Duplicated Lines Density",-3,-0.0075769063433111,0.0383303205223422,-0.0827043345671018,0.0675505218804796,FALSE,-0.754827394907054
"Repositories without prior AI traces (AF)","Duplicated Lines Density",-2,0.00905711703140966,0.0364099281836424,-0.0623063422085295,0.0804205762713488,FALSE,0.90982568247111
"Repositories without prior AI traces (AF)","Duplicated Lines Density",0,0.0996468729198301,0.039372532795896,0.0224767086398739,0.176817037199786,TRUE,10.4780721194856
"Repositories without prior AI traces (AF)","Duplicated Lines Density",1,0.0638610365815726,0.0426504578447862,-0.0197338607942083,0.147455933957353,FALSE,6.59442612105026
"Repositories without prior AI traces (AF)","Duplicated Lines Density",2,0.102851025464712,0.0485848256077295,0.00762476727356222,0.198077283655862,TRUE,10.8326284383462
"Repositories without prior AI traces (AF)","Duplicated Lines Density",3,0.107778932812984,0.0518453141405199,0.00616211709756539,0.209395748528403,TRUE,11.3801493205335
"Repositories without prior AI traces (AF)","Duplicated Lines Density",4,0.147107692122694,0.0563892401589454,0.0365847814111607,0.257630602834227,TRUE,15.8478715344265
"Repositories without prior AI traces (AF)","Duplicated Lines Density",5,0.120265036800535,0.0631279808341652,-0.00346580563442882,0.243995879235499,FALSE,12.779571934126
"Repositories without prior AI traces (AF)","Duplicated Lines Density",6,0.14897606449802,0.0799405070030666,-0.00770732922799075,0.30565945822403,FALSE,16.0645208250931
"Repositories without prior AI traces (AF)","% Comment Lines",-6,0.00594747869430662,0.0413179333310573,-0.0750356706345657,0.0869306280231789,FALSE,0.596520006077994
"Repositories without prior AI traces (AF)","% Comment Lines",-5,0.00038513436397805,0.0475110794626111,-0.0927365813827396,0.0935068501106957,FALSE,0.0385208537739157
"Repositories without prior AI traces (AF)","% Comment Lines",-4,0.00196172635062622,0.0324957082481588,-0.061729861815765,0.0656533145170175,FALSE,0.196365179462243
"Repositories without prior AI traces (AF)","% Comment Lines",-3,0.0398030609979769,0.0299465903215557,-0.0188922560322724,0.0984983780282261,FALSE,4.06058181398066
"Repositories without prior AI traces (AF)","% Comment Lines",-2,0.0201767712722686,0.0271249046162929,-0.0329880417756655,0.0733415843202027,FALSE,2.03816982562097
"Repositories without prior AI traces (AF)","% Comment Lines",0,0.0401143660546613,0.0264223622504635,-0.0116734639562471,0.0919021960655697,FALSE,4.09298144212324
"Repositories without prior AI traces (AF)","% Comment Lines",1,0.0270837126988842,0.0320995515405911,-0.0358314083206745,0.0899988337184428,FALSE,2.74538100949082
"Repositories without prior AI traces (AF)","% Comment Lines",2,0.0132306178543603,0.0325569355105231,-0.0505809757462649,0.0770422114549856,FALSE,1.33185297605298
"Repositories without prior AI traces (AF)","% Comment Lines",3,-0.00737180530972957,0.0351885822941191,-0.0763414266062029,0.0615978159867438,FALSE,-0.734470019839806
"Repositories without prior AI traces (AF)","% Comment Lines",4,0.0533388000239121,0.0359161306876201,-0.0170568161238232,0.123734416171648,FALSE,5.4786946431765
"Repositories without prior AI traces (AF)","% Comment Lines",5,0.0483449780937519,0.0412461264354992,-0.0324974297198265,0.12918738590733,FALSE,4.95326586551841
"Repositories without prior AI traces (AF)","% Comment Lines",6,0.0602391038582055,0.0446476024419134,-0.0272701969279448,0.147748404644356,FALSE,6.20904661157871
"Repositories without prior AI traces (AF)","Static Analysis Warnings",-6,0.207988001465028,0.173230266301503,-0.131543320485919,0.547519323415975,FALSE,23.119839688322
"Repositories without prior AI traces (AF)","Static Analysis Warnings",-5,0.110275965328156,0.0688623637347537,-0.0246942675919611,0.245246198248273,FALSE,11.6586167012927
"Repositories without prior AI traces (AF)","Static Analysis Warnings",-4,0.0433631088205485,0.0393739220952795,-0.0338097784861992,0.120535996127296,FALSE,4.43170267372381
"Repositories without prior AI traces (AF)","Static Analysis Warnings",-3,0.0580793728098453,0.0380940534853026,-0.0165849720213479,0.132743717641038,FALSE,5.97991116053456
"Repositories without prior AI traces (AF)","Static Analysis Warnings",-2,0.0445719499919574,0.0379985423226193,-0.0299051929603765,0.119049092944291,FALSE,4.55802034913719
"Repositories without prior AI traces (AF)","Static Analysis Warnings",0,0.138743281457236,0.045578654481736,0.0494091186730337,0.228077444241439,TRUE,14.882913640213
"Repositories without prior AI traces (AF)","Static Analysis Warnings",1,0.141284677067146,0.0550964560532139,0.0332956232028464,0.249273730931445,TRUE,15.1752478837321
"Repositories without prior AI traces (AF)","Static Analysis Warnings",2,0.135937594102096,0.0584590212430595,0.0213579124656995,0.250517275738493,TRUE,14.561039851846
"Repositories without prior AI traces (AF)","Static Analysis Warnings",3,0.175481926402298,0.065171511449377,0.0477457639615195,0.303218088843077,TRUE,19.1820447973295
"Repositories without prior AI traces (AF)","Static Analysis Warnings",4,0.233910608020219,0.0640963456577713,0.108281770530987,0.359539445509451,TRUE,26.3531537573575
"Repositories without prior AI traces (AF)","Static Analysis Warnings",5,0.295080938200978,0.0720529933793335,0.153857071177484,0.436304805224472,TRUE,34.3235073316959
"Repositories without prior AI traces (AF)","Static Analysis Warnings",6,0.14827899477431,0.0879627055449226,-0.0241279080937388,0.320685897642358,FALSE,15.9836439533132
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",-6,0.0681295616766256,0.0732156669983599,-0.0753731456401598,0.211632268993411,FALSE,7.05039957868288
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",-5,0.0673214849614585,0.0535175251699861,-0.0375728643717143,0.172215834294631,FALSE,6.96392958533343
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",-4,0.0560657021282392,0.0547247118495033,-0.0511947330967872,0.163326137353266,FALSE,5.76671724380065
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",-3,0.0707814279334597,0.0563431909462759,-0.0396512263212411,0.181214082188161,FALSE,7.33465966438518
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",-2,0.0323495597610073,0.0444582956707456,-0.0547886997536541,0.119487819275669,FALSE,3.28784949675629
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",0,0.226136286839178,0.0507559074703054,0.12665470819738,0.325617865480977,TRUE,25.3746522785829
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",1,0.282989189859591,0.0670792374267143,0.151513884503231,0.414464495215951,TRUE,32.7090815701562
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",2,0.280848133195536,0.075518738318711,0.132831406090863,0.42886486030021,TRUE,32.425247867128
"Repositories without prior AI traces (AF)","Cognitive/Code Complexity",3,0.317661485112859,0.0814989446286261,0.157923553640752,0.477399416584966,TRUE,37.3911093140206
